št;maticna;skd_pod;leto;f01;f02;f03;f04;f05;f06;f07;f08;f09;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f21;f22;f23;f24;f25;f26;f27;f28;f29;f30;f31;f32;f33;f35;f36;f37;f38;f39;f40;f41;f42;f43;f44;f46;f47;default
58;3653358000;I;2015;-0,16;-0,07;0,00;-0,02;0,98;0,98;13880,38;-1079,43;-0,07;0,20;0,00;0,30;0,60;0,26;0,06;0,57;-0,21;-0,05;0,00;0,48;0,52;0,92;116,06;0,00;1,68;0,00;0,38;0,31;0,00;0,31;-0,05;4,01;349,61;9,10;13,66;0,00;-0,20;-0,02;-0,11;-0,20;-0,16;-0,06;-1,00;10,24;0,00
59;1898272000;I;2017;0,00;0,00;0,07;0,00;1,00;1,00;17083,29;-10,11;0,00;-0,70;1,00;0,48;1,06;0,48;0,00;0,91;0,01;0,00;0,00;0,34;0,67;0,50;2,42;0,50;0,95;0,00;0,83;0,17;0,00;0,17;-0,02;3,53;19,88;15,73;24,29;0,00;1,62;0,07;0,27;0,40;-0,20;0,06;0,99;9,33;0,00
60;2156261000;I;2016;0,07;0,04;0,34;0,13;1,13;1,15;135278,56;31856,40;0,04;0,02;0,00;0,11;0,34;0,01;0,23;0,88;-0,09;-0,31;0,05;0,58;0,42;1,38;4,35;0,29;2,93;0,00;0,77;0,05;0,18;0,05;0,53;0,29;25,17;3,72;6,60;0,00;0,70;0,33;0,09;0,22;1,20;11,10;0,96;16,26;0,00
61;2197812000;I;2015;0,35;0,04;0,06;0,02;1,02;1,02;20085,11;1323,11;0,05;0,01;0,00;0,72;1,11;0,51;0,23;0,79;0,05;0,02;0,05;0,13;0,87;0,15;6,76;0,38;0,90;0,00;0,12;0,54;0,00;0,54;0,13;2,39;34,76;4,80;4,71;52,81;0,43;0,10;0,21;0,24;0,19;0,15;0,27;11,98;0,00
62;2190516000;I;2014;0,01;0,00;0,70;0,32;1,04;1,48;18554,00;636,33;0,03;0,02;0,00;0,13;0,13;0,04;0,32;0,80;-0,20;-2,23;0,21;0,64;0,36;1,81;5,68;0,13;7,97;0,00;0,00;0,03;0,94;0,03;0,03;0,09;6,31;0,58;1,23;0,00;0,25;0,63;0,06;0,16;-0,04;0,20;-0,58;13,07;0,00
63;6462561000;I;2016;0,00;0,00;0,00;0,00;1,00;1,00;13238,53;-2,95;0,00;-0,11;0,00;3,01;3,33;3,01;0,00;7,27;0,70;0,16;0,00;0,70;0,30;2,33;150,00;0,00;0,30;0,00;0,00;0,10;0,90;1,00;0,06;4,84;10,88;11,29;9,69;6,23;3,01;0,21;0,90;3,01;0,25;1,41;-1,00;9,13;0,00
64;6867766000;I;2017;0,02;0,01;0,02;0,02;1,02;1,02;10366,67;603,70;0,01;0,00;0,00;2,00;2,00;1,75;0,39;0,84;0,50;0,80;0,20;0,48;0,52;0,91;51,17;0,00;0,52;0,00;0,00;0,15;0,85;1,00;0,06;0,79;4,93;2,22;1,70;1,29;0,50;0,40;0,25;0,48;0,73;-0,78;0,94;9,99;0,00
65;5928052000;I;2014;0,10;0,03;0,08;0,05;1,03;1,05;20312,24;950,00;0,07;0,15;0,00;0,74;1,27;0,27;0,61;0,70;0,17;0,11;0,20;0,28;0,72;0,39;5,83;0,11;0,79;0,00;0,22;0,62;0,17;0,78;0,19;1,54;4,47;1,85;2,70;11,71;-0,25;-0,11;-0,16;-0,22;0,09;0,02;-0,49;11,82;0,00
66;5862485000;I;2013;-2,00;-0,85;-0,09;-0,10;0,91;0,91;18554,00;636,33;-1,00;-5,54;1,00;0,04;0,29;0,03;0,01;-1,07;-1,42;-0,14;0,00;-0,98;1,98;-0,50;150,00;0,00;3,50;1,00;0,28;0,56;0,00;0,57;0,25;8,51;64,61;6,57;14,86;0,00;0,05;0,01;0,09;0,05;-0,28;-0,11;-0,28;7,84;0,00
67;1894811000;I;2016;0,01;0,00;0,23;0,13;1,01;1,14;35662,73;544,35;0,04;-0,58;0,00;0,25;0,39;0,19;0,06;0,94;-0,05;-0,16;0,02;0,22;0,78;0,29;10,94;0,70;2,56;0,00;0,97;0,03;0,00;0,03;0,00;0,30;31,80;1,95;7,37;0,00;0,49;0,13;0,04;0,05;-0,03;0,18;1,00;14,11;0,00
68;5705797000;I;2015;0,24;0,18;0,29;0,24;1,27;1,31;32897,00;10873,03;0,20;0,47;0,00;7,30;7,50;7,28;0,03;5,31;0,74;0,87;0,00;0,71;0,29;2,43;1,17;0,18;0,13;0,00;0,14;0,03;0,83;0,86;0,41;0,99;33,98;7,31;12,76;1,38;2,35;0,32;0,27;0,92;0,41;0,07;0,67;12,18;0,00
69;6365752000;I;2013;1,14;0,62;0,09;0,09;1,09;1,09;25618,83;6484,42;0,39;0,00;0,00;1,47;1,62;0,05;1,42;1,67;0,29;0,06;0,15;0,54;0,46;1,17;1,20;0,00;0,62;0,00;0,02;0,75;0,23;0,75;0,09;9,05;13,83;13,17;11,10;31,68;0,10;0,01;0,05;0,10;0,02;0,07;1,00;10,39;0,00
70;1263498000;I;2017;0,02;0,02;0,03;0,03;1,03;1,03;30994,16;947,25;0,02;0,69;0,00;23,32;25,94;13,47;1,00;0,84;0,91;1,19;0,05;0,96;0,04;24,94;1,43;0,00;0,04;0,00;0,00;1,00;0,00;1,00;0,06;0,80;13,69;2,61;0,82;0,90;0,73;0,04;0,03;0,73;-0,02;-0,12;0,26;10,57;0,00
71;1227599650;I;2015;-0,16;-0,10;-0,01;-0,02;0,98;0,98;13073,30;-657,07;-0,10;0,07;0,00;2,49;3,03;2,40;0,09;2,50;0,58;0,10;0,01;0,58;0,43;1,35;150,00;0,14;0,33;0,00;0,08;0,58;0,28;0,87;0,37;5,58;145,16;13,51;10,84;9,17;0,01;0,00;0,00;0,01;-0,08;-0,11;-1,00;9,42;0,00
72;1890450000;I;2013;-0,16;-0,14;-0,12;-0,24;0,81;0,81;18554,00;636,33;-0,15;-1,21;1,00;0,46;0,46;0,10;0,39;0,92;-0,07;-0,12;0,08;0,87;0,13;6,59;150,00;0,00;2,17;0,00;0,94;0,06;0,00;0,06;0,00;0,58;12,97;7,15;11,21;0,00;-0,07;-0,02;-0,01;-0,07;-0,08;-0,08;-0,31;9,84;0,00
73;6145469000;I;2013;-6,19;-1,47;-0,34;-0,35;0,73;0,74;18554,00;636,33;-1,48;0,00;0,00;0,49;0,58;0,31;0,18;-2,70;-0,68;-0,16;0,07;-0,60;1,60;-0,38;150,00;0,00;1,74;1,00;0,08;0,92;0,00;0,92;0,00;4,00;10,76;6,15;6,27;80,53;0,11;0,04;0,17;0,11;-0,10;0,07;-1,00;9,01;0,00
74;6591213000;I;2014;-2,00;-0,56;-0,28;-0,32;0,76;0,76;-272,58;-14887,10;-0,34;0,00;0,00;0,49;0,65;0,13;0,43;0,71;-0,16;-0,15;0,16;-0,17;1,17;-0,14;150,00;0,71;1,55;1,00;0,64;0,29;0,00;0,29;0,98;2,12;12,86;5,59;9,38;0,00;-0,21;-0,09;-0,10;-0,08;0,02;0,07;-1,00;11,09;0,00
75;3734757000;I;2014;1,27;0,38;0,08;0,07;1,07;1,08;14261,80;4113,86;0,41;0,00;0,00;0,54;0,75;0,42;0,12;0,65;-0,14;-0,02;0,01;0,46;0,54;0,84;1,15;0,00;1,34;0,00;0,19;0,41;0,00;0,41;0,03;6,23;88,90;6,97;17,16;0,00;0,40;0,04;0,21;0,40;0,17;0,16;0,43;10,34;0,00
76;6268323000;I;2014;-0,45;-0,10;-0,01;-0,04;0,98;0,97;21675,49;-3232,35;-0,18;0,06;0,00;0,48;0,63;0,02;0,49;0,32;-0,30;-0,06;0,07;0,19;0,81;0,24;150,00;0,00;1,59;0,00;0,48;0,50;0,00;0,51;0,09;4,29;12,01;4,82;8,70;0,00;-0,16;-0,03;-0,13;-0,16;-0,25;1,25;-1,00;10,98;0,00
77;2267900000;I;2014;0,00;0,00;0,51;0,06;1,01;1,06;55087,00;802,00;0,01;0,06;0,00;0,08;0,08;0,04;0,61;0,66;-0,33;-2,60;0,11;0,48;0,52;0,92;8,07;0,16;13,11;0,00;0,97;0,03;0,00;0,03;0,02;0,11;5,99;0,96;1,89;0,00;0,08;0,21;0,03;0,05;-0,05;0,33;-0,26;13,42;0,00
78;3362213000;I;2016;0,13;0,02;0,24;0,10;1,06;1,11;24176,09;2486,06;0,05;0,03;0,00;0,82;0,89;0,06;1,36;0,96;-0,01;-0,02;0,17;0,20;0,80;0,25;6,44;0,67;1,24;0,00;0,90;0,10;0,00;0,10;0,01;0,49;7,56;4,51;4,98;0,00;0,63;0,14;0,07;0,09;-0,02;-0,03;0,93;12,78;0,00
79;3697410000;I;2015;-2,00;-0,04;-0,85;-1,02;0,47;0,50;27773,83;-38902,69;-0,03;-0,03;1,00;0,91;0,91;0,26;2,96;-2,10;-0,10;-3,16;2,63;-0,07;1,07;-0,06;150,00;0,00;1,10;1,00;0,03;0,69;0,28;0,97;0,00;0,03;0,40;0,04;0,08;0,00;0,00;0,09;0,00;0,00;-0,16;-0,46;-0,18;14,19;0,00
80;7175973000;I;2017;0,68;0,10;0,04;0,03;1,02;1,03;16433,84;1699,66;0,09;0,00;0,00;0,76;0,86;0,48;0,35;0,38;-0,12;-0,04;0,07;0,13;0,87;0,15;6,96;0,00;1,16;0,00;0,17;0,75;0,00;0,75;0,84;4,93;26,96;7,59;10,40;0,00;0,72;0,19;0,63;0,72;1,88;0,07;1,00;11,66;0,00
81;5329612000;I;2015;-2,00;0,87;0,38;0,38;1,62;1,62;33598,00;27610,00;0,52;-1,65;0,00;0,41;0,42;0,00;0,42;-40,97;-1,36;-1,01;0,71;-1,35;2,35;-0,57;4,52;0,00;2,38;1,00;0,00;0,98;0,00;0,99;0,06;2,48;2,77;0,38;1,60;0,00;-0,01;-0,02;-0,02;-0,01;9,88;1,71;1,00;10,28;0,00
82;6544983000;I;2014;0,45;0,19;0,19;0,19;1,23;1,23;25207,14;5242,86;0,12;0,00;0,00;1,72;1,72;0,68;3,90;0,84;0,42;0,69;1,00;0,42;0,58;0,72;5,05;0,00;0,58;0,00;0,00;0,68;0,32;1,00;0,06;1,21;2,00;1,90;1,45;2,89;-0,61;-0,59;-0,36;-0,61;0,02;0,07;1,00;10,05;0,00
83;6916988000;I;2017;-0,27;-0,01;0,00;0,00;1,00;1,00;14183,46;-49,13;0,01;0,01;1,00;0,95;1,01;0,88;0,09;0,23;0,01;0,00;0,02;0,01;0,99;0,01;118,66;0,00;0,99;0,00;0,00;0,24;0,76;1,00;0,06;6,20;94,56;5,01;28,13;218,04;0,60;0,18;0,59;0,60;9,88;0,07;0,86;11,00;0,00
84;6259642000;I;2014;-1,19;-0,55;-0,12;-0,12;0,89;0,89;18554,00;636,33;-0,75;0,00;0,00;1,22;1,22;0,17;3,57;0,84;0,18;0,03;0,14;0,18;0,82;0,22;150,00;0,00;0,82;0,00;0,00;0,90;0,10;1,00;0,06;4,25;7,55;17,62;6,36;15,82;-1,17;-0,16;-0,96;-1,17;-0,46;1,15;-1,00;9,55;0,00
85;3612210000;I;2013;-2,00;-0,93;-0,13;-0,16;0,89;0,86;7831,60;-5650,80;-1,60;-1,69;1,00;0,11;0,32;0,09;0,02;-1,28;-1,35;-0,14;0,00;-1,78;2,78;-0,64;150,00;0,77;3,12;1,00;0,36;0,65;0,00;0,65;0,07;7,55;417,58;3,93;13,50;0,00;-0,43;-0,09;-0,86;-0,31;-0,38;1,17;-0,64;9,35;0,00
86;3547809000;I;2014;-0,30;-0,08;0,20;-0,71;0,47;0,59;16481,50;-32308,50;-0,06;-0,40;1,00;0,00;0,02;0,00;0,00;0,82;-0,18;-2,30;0,00;0,25;0,76;0,32;48,47;0,57;65,10;0,00;0,99;0,00;0,00;0,00;0,00;0,08;65,56;0,36;15,55;0,00;0,10;0,23;0,02;0,02;-0,07;-0,16;-0,09;14,21;0,00
87;3352030000;I;2013;-2,00;-0,08;0,00;0,00;0,99;1,00;12123,32;-239,38;-0,05;-10,17;1,00;0,01;0,04;0,00;0,01;-9,09;-9,00;-0,55;0,01;-8,61;9,61;-0,90;150,00;0,24;25,86;1,00;0,00;0,36;0,00;0,36;0,03;12,20;232,83;1,24;23,72;0,00;0,06;0,04;0,60;0,06;-0,41;0,10;0,85;8,42;0,00
88;6268617000;I;2016;0,35;0,13;0,15;0,13;1,15;1,15;25236,21;8732,29;0,18;0,27;0,00;1,81;1,83;1,44;0,39;3,64;0,39;0,28;0,13;0,51;0,49;1,03;2,43;0,02;0,55;0,00;0,14;0,21;0,66;0,86;0,10;1,20;8,79;1,40;5,92;4,35;-0,59;-0,20;-0,28;-0,56;-0,23;0,18;0,21;11,98;0,00
89;2303191000;I;2016;0,02;0,01;0,00;-0,01;1,01;0,99;16940,21;849,57;-0,01;0,02;0,00;1,10;2,19;0,13;0,99;1,05;0,34;0,41;0,34;0,54;0,46;1,17;133,58;0,18;0,46;0,00;0,03;0,62;0,00;0,62;0,02;0,72;3,05;2,78;1,39;2,07;0,21;0,07;0,06;0,13;0,01;-0,05;-0,33;15,25;0,00
90;3411184000;I;2015;0,03;0,00;0,15;0,08;1,00;1,08;37849,22;159,48;0,04;0,02;0,00;0,38;0,46;0,26;0,14;0,92;-0,07;-0,15;0,04;0,03;0,97;0,03;13,44;0,84;2,21;0,00;0,94;0,03;0,03;0,06;0,00;0,47;30,71;2,67;14,54;0,00;0,33;0,09;0,04;0,04;-0,02;-0,01;-0,80;14,11;0,00
91;6054188000;I;2015;-2,00;-0,20;-0,62;-1,36;0,42;0,42;18554,00;636,33;-0,24;-0,20;1,00;0,06;0,06;0,00;0,42;-0,35;-1,24;-6,90;0,45;-0,32;1,32;-0,24;150,00;0,00;16,50;1,00;0,92;0,08;0,00;0,08;0,01;0,15;0,72;0,79;1,16;0,00;-0,10;-0,72;-0,13;-0,10;-0,32;-0,21;-0,04;10,97;0,00
92;6902693000;I;2016;-2,00;-0,75;-0,13;-0,15;0,87;0,87;7475,48;-7192,51;-0,74;0,00;0,00;0,06;0,18;0,02;0,08;-0,45;-1,16;-0,23;0,01;-0,41;1,41;-0,29;150,00;0,00;5,72;1,00;0,74;0,24;0,00;0,25;1,03;5,13;218,34;7,10;14,60;0,00;-0,53;-0,15;-0,74;-0,53;0,03;2,34;-1,00;10,11;0,00
93;6973078000;I;2016;0,43;0,25;0,09;0,08;1,09;1,09;18554,00;636,33;0,22;0,11;0,00;1,30;1,66;1,30;0,00;1,31;0,29;0,11;0,00;0,56;0,44;1,26;1,80;0,00;0,60;0,00;0,27;0,73;0,00;0,73;1,10;3,43;19,88;11,14;3,75;6,23;1,46;0,24;0,64;1,45;0,72;307,45;1,00;9,74;0,00
94;6100651000;I;2016;-0,17;0,00;0,07;0,07;0,99;1,07;18554,00;636,33;0,00;0,00;1,00;0,83;26,36;0,65;0,34;0,99;0,91;2,03;0,69;0,00;1,00;0,00;305,50;0,96;0,04;0,00;0,00;0,98;0,02;1,00;0,00;0,02;2,64;0,55;0,01;0,01;-1,48;-1,46;-0,05;-0,06;0,06;-0,18;-0,65;15,45;0,00
95;1562207000;I;2016;-0,01;-0,01;0,04;-0,03;0,98;0,97;21725,60;-825,58;-0,02;0,15;1,00;23,32;26,36;13,47;0,20;13,55;0,90;1,75;0,01;0,96;0,04;26,66;1,67;0,00;0,04;0,00;0,07;0,14;0,79;0,93;0,08;0,51;182,58;8,51;2,88;0,58;0,82;0,05;0,02;0,65;-0,01;0,03;0,35;11,76;0,00
96;3509125000;I;2014;0,26;0,23;0,25;0,25;1,34;1,34;18796,25;5223,75;0,26;0,34;0,00;16,04;16,04;13,47;1,23;0,84;0,91;0,91;0,07;0,94;0,06;15,04;0,24;0,00;0,06;0,00;0,00;0,08;0,92;1,00;0,06;1,13;9,11;3,05;6,82;1,25;3,85;0,23;0,24;3,01;0,20;-0,09;0,14;9,88;0,00
97;5001935000;I;2017;-0,69;-0,12;0,80;-1,22;0,45;0,45;18554,00;636,33;-0,13;-0,04;1,00;0,49;0,49;0,13;12,11;0,37;-0,39;-3,68;2,56;0,24;0,77;0,31;8,97;0,00;2,06;0,00;0,63;0,37;0,00;0,37;-0,31;0,02;0,40;3,07;0,07;0,00;-0,14;-1,01;-0,11;-0,14;-0,11;-0,29;-0,30;14,83;0,00
98;2145243000;I;2016;0,01;0,00;-0,01;-0,01;1,01;0,99;18554,00;636,33;-0,01;0,51;0,00;3,15;3,15;1,93;6,43;26,41;0,68;1,90;1,08;0,69;0,32;2,17;150,00;0,00;0,32;0,00;0,01;0,51;0,49;0,99;1,28;0,35;1,01;3,88;0,67;0,53;-0,39;-0,35;-0,12;-0,39;-0,05;0,31;-0,53;10,95;0,00
99;7091656000;I;2016;0,49;0,22;0,04;0,03;1,03;1,03;15705,65;1451,52;0,12;0,00;0,00;0,90;1,41;0,66;0,24;0,89;0,23;0,06;0,03;0,45;0,55;0,83;3,89;0,00;0,71;0,00;0,23;0,77;0,00;0,77;1,09;7,91;61,15;10,04;9,90;35,15;0,49;0,07;0,27;0,49;0,02;0,07;1,00;10,00;0,00
100;3434672000;I;2015;-2,00;0,01;0,05;0,01;1,00;1,01;12100,57;165,14;0,01;-0,45;0,00;0,45;0,90;0,36;0,14;0,60;-0,06;-0,02;0,02;-0,32;1,32;-0,24;11,59;0,77;1,12;1,00;0,50;0,48;0,02;0,50;0,67;2,66;19,67;6,67;4,51;20,53;0,62;0,14;0,34;0,26;0,18;-0,11;0,07;10,96;0,00
101;2290871000;I;2016;-2,00;0,13;0,06;0,03;1,02;1,03;22345,11;1744,78;0,19;-0,37;0,00;0,54;0,76;0,42;0,12;0,68;-0,12;-0,02;0,01;-0,20;1,20;-0,17;2,97;0,70;1,32;1,00;0,60;0,38;0,00;0,38;0,30;6,04;146,91;8,72;19,51;0,00;0,94;0,07;0,47;0,39;-0,10;0,27;0,30;10,72;0,00
102;3659364000;I;2017;0,30;0,15;0,07;0,07;1,07;1,07;20781,67;4158,86;0,17;0,04;0,00;1,59;1,85;0,17;5,19;2,08;0,40;0,16;0,26;0,53;0,47;1,14;2,70;0,00;0,54;0,00;0,10;0,82;0,08;0,86;0,68;2,79;4,00;9,42;2,97;6,77;-0,19;-0,04;-0,09;-0,19;0,24;-0,10;-0,28;12,67;0,00
103;5309760000;I;2017;0,45;0,12;0,21;0,13;1,15;1,15;33967,41;5717,16;0,15;0,17;0,00;1,04;1,07;0,77;0,35;1,01;0,01;0,01;0,05;0,32;0,68;0,47;2,79;0,47;0,95;0,00;0,77;0,21;0,01;0,22;0,10;1,18;20,28;3,04;5,99;0,00;1,19;0,21;0,24;0,36;0,11;0,25;0,72;13,19;0,00
104;1422839000;I;2014;0,03;0,01;0,10;0,04;1,02;1,04;21352,25;1042,25;0,02;0,28;0,00;0,84;0,85;0,79;0,05;0,90;-0,08;-0,14;0,05;0,31;0,69;0,46;12,82;0,19;1,18;0,00;0,26;0,14;0,56;0,43;0,00;0,56;27,55;0,81;6,09;0,00;0,35;0,33;0,18;0,26;0,11;-0,14;-0,75;13,04;0,00
105;2145065000;I;2016;0,07;0,01;0,07;0,00;1,01;1,00;18671,32;549,51;0,00;0,13;0,00;9,53;9,87;9,50;0,04;5,26;0,73;0,71;0,00;0,17;0,83;0,21;11,46;0,74;0,10;0,00;0,15;-0,01;0,78;0,81;0,09;1,01;415,69;10,60;0,00;1,53;1,98;0,16;0,16;0,20;-0,04;0,15;-0,02;12,42;0,00
106;1926136000;I;2014;-2,00;-0,33;0,27;-0,63;0,62;0,61;45719,21;-64813,36;-0,65;0,26;0,00;0,73;0,73;0,01;0,73;-40,97;-0,36;-0,35;0,95;-0,35;1,35;-0,26;4,95;0,00;1,36;1,00;0,00;0,97;0,01;0,99;-1,46;0,50;1,08;0,59;0,74;15,35;0,75;0,99;0,99;0,75;-0,67;-0,64;-1,00;12,21;0,00
107;3972453000;I;2013;0,15;0,01;0,04;0,04;1,04;1,04;18386,21;4189,66;0,01;0,00;0,00;0,15;0,15;0,13;0,02;0,05;-0,82;-4,11;0,11;0,04;0,96;0,04;133,98;0,00;6,79;0,00;0,00;0,12;0,88;0,14;0,00;0,21;17,21;0,37;3,03;0,00;0,97;1,12;0,93;0,97;0,16;213,28;0,93;12,35;0,00
108;6286763000;I;2015;-2,00;-0,22;-0,03;-0,04;0,96;0,97;12603,98;-1674,01;-0,27;-1,13;1,00;0,46;0,47;0,15;0,31;-18,89;-1,10;-0,14;0,08;-1,07;2,07;-0,52;150,00;0,00;2,12;1,00;0,02;0,69;0,29;0,98;0,00;5,68;16,21;2,44;7,68;0,00;-0,43;-0,12;-0,90;-0,43;-0,42;-0,12;0,01;9,95;0,00
109;3615391000;I;2016;0,27;0,13;0,08;0,07;1,07;1,07;23604,79;3513,49;0,15;0,36;0,00;0,96;1,04;0,23;0,83;0,97;0,02;0,01;0,14;0,52;0,48;1,07;2,65;0,04;0,97;0,00;0,06;0,46;0,48;0,46;0,02;2,39;13,06;3,57;7,92;11,70;-0,37;-0,07;-0,16;-0,34;0,11;0,01;-0,09;12,34;0,00
110;3877914000;I;2013;-2,00;-0,93;-0,85;-1,38;0,42;0,42;2298,00;-9677,67;-0,84;-0,06;1,00;0,53;0,53;0,53;0,00;0,84;-0,89;-2,04;0,01;-0,89;1,89;-0,47;150,00;0,00;1,89;1,00;0,00;0,00;0,97;1,00;0,06;0,49;99,58;0,18;93,36;0,00;0,11;0,46;0,20;0,11;0,25;-0,40;-0,74;10,46;0,00
111;5805635000;I;2017;0,09;0,03;0,10;-0,01;1,05;0,99;22091,37;2589,83;-0,01;0,26;0,00;3,93;4,26;3,72;0,21;1,69;0,40;0,52;0,03;0,31;0,69;0,45;9,34;0,57;0,24;0,00;0,48;0,21;0,31;0,52;0,10;0,83;24,07;3,89;4,60;2,83;0,58;0,09;0,07;0,10;0,23;0,08;-0,32;12,82;0,00
112;1945416000;I;2015;0,17;0,05;0,02;0,02;1,03;1,02;18508,65;790,39;0,04;0,00;0,00;1,14;1,19;0,00;1,14;1,62;0,14;0,07;0,40;0,27;0,74;0,36;14,87;0,00;0,84;0,00;0,12;0,88;0,00;0,88;0,37;2,49;3,18;1,91;2,78;14,89;0,07;0,03;0,05;0,07;0,48;-0,07;0,01;10,59;0,00
113;6430732000;I;2014;0,03;0,01;0,00;0,00;1,00;1,00;12337,77;65,51;0,00;0,08;0,00;1,24;1,35;0,01;1,23;2,94;0,26;0,07;0,23;0,26;0,74;0,36;253,67;0,00;0,74;0,00;0,01;1,00;0,00;1,00;0,00;4,47;5,31;3,79;4,51;15,46;-0,12;-0,02;-0,09;-0,12;0,35;2,19;-0,82;10,68;0,00
114;6260187000;I;2014;-0,52;-0,25;-0,14;-0,14;0,96;0,88;8018,12;-1566,44;-0,84;-0,20;1,00;1,44;1,50;1,30;0,13;4,98;0,32;0,05;0,02;0,35;0,65;0,55;150,00;0,00;0,67;0,00;0,03;0,59;0,38;0,97;0,00;5,99;90,59;9,12;14,97;13,38;0,03;0,00;0,02;0,03;0,03;0,22;-0,12;9,15;0,00
115;1781901000;I;2016;0,36;0,08;0,02;0,01;1,01;1,01;18780,79;630,80;0,04;0,02;0,00;0,58;0,64;0,33;0,30;0,71;-0,18;-0,03;0,02;0,21;0,79;0,27;6,52;0,30;1,57;0,00;0,68;0,31;0,00;0,32;0,64;7,19;75,54;8,83;20,35;0,00;0,03;0,00;0,02;0,02;0,67;-0,03;-0,54;11,24;0,00
116;6275044000;I;2013;0,75;0,19;0,06;0,05;1,05;1,05;27254,29;10754,29;0,15;-0,02;0,00;0,97;1,09;0,19;0,79;0,93;0,07;0,02;0,19;0,27;0,73;0,37;3,76;0,00;0,92;0,00;0,20;0,80;0,00;0,80;0,34;4,10;10,76;4,80;5,12;275,17;-0,06;-0,01;-0,04;-0,06;0,96;0,07;1,00;10,18;0,00
117;5790247000;I;2017;0,57;0,05;0,47;0,32;1,35;1,47;18554,00;636,33;0,08;0,06;0,00;0,34;0,34;0,06;0,29;0,90;-0,10;-0,39;0,17;0,12;0,88;0,14;7,39;0,73;2,98;0,00;0,95;0,05;0,00;0,05;0,00;0,25;6,20;0,82;2,49;0,00;0,46;0,27;0,07;0,08;-0,04;0,12;0,14;14,40;0,00
118;2307561000;I;2015;0,95;0,28;0,12;0,12;1,14;1,13;18554,00;636,33;0,23;0,03;0,00;1,89;1,96;1,81;0,08;8,14;0,48;0,24;0,02;0,36;0,64;0,57;2,66;0,13;0,52;0,00;0,02;0,21;0,77;0,98;0,90;2,44;58,15;3,49;11,43;6,68;0,46;0,11;0,23;0,36;0,53;0,08;-0,12;11,25;0,00
119;6414184000;I;2016;-2,00;0,15;0,13;0,08;1,08;1,09;22681,46;4443,12;0,13;-0,01;0,00;0,53;0,58;0,48;0,14;0,04;-0,42;-0,25;0,03;0,02;0,98;0,02;4,69;0,00;1,74;0,00;0,38;0,12;0,50;0,56;0,07;2,00;29,47;2,99;12,06;0,00;0,22;0,13;0,21;0,22;0,56;0,98;1,00;12,59;0,00
120;6938647000;I;2016;0,12;0,06;0,02;0,01;1,01;1,01;16524,61;859,44;0,06;0,04;0,00;1,19;1,32;1,04;0,15;1,38;0,18;0,04;0,02;0,44;0,56;0,78;8,01;0,00;0,76;0,00;0,24;0,38;0,35;0,74;1,01;6,10;96,85;10,26;15,53;17,04;0,62;0,07;0,35;0,62;0,73;6,18;0,11;9,98;0,00
121;3773523000;I;2017;0,15;0,05;0,04;0,03;1,03;1,03;19143,63;824,61;0,05;-0,09;0,00;1,40;1,40;0,21;1,18;5,93;0,27;0,14;0,43;0,32;0,68;0,48;9,80;0,00;0,72;0,00;0,05;0,95;0,00;0,95;1,09;1,99;2,43;1,26;2,04;7,40;0,16;0,06;0,11;0,16;0,15;-0,14;0,49;9,81;0,00
122;2298082000;I;2013;0,12;0,01;0,44;0,24;1,09;1,32;68539,69;9446,39;0,03;-0,01;0,00;1,12;1,13;0,17;1,85;0,93;0,02;0,18;1,31;0,09;0,91;0,10;15,90;0,66;1,24;0,00;0,72;0,18;0,11;0,21;0,06;0,12;0,95;0,66;0,51;3,36;-0,05;-0,07;-0,01;-0,01;0,10;-0,06;0,51;16,26;0,00
123;3456790000;I;2013;-2,00;-0,23;0,23;-0,05;0,86;0,96;24157,86;-8004,29;-0,07;-0,54;1,00;0,03;0,44;0,00;0,04;-0,58;-0,86;-0,62;0,03;-0,55;1,55;-0,36;4,93;0,00;2,26;1,00;0,26;0,69;0,00;0,69;-0,24;1,39;23,66;0,40;2,42;0,00;-0,11;-0,12;-0,17;-0,11;0,01;-0,20;0,51;10,81;0,00
124;1422839000;I;2017;0,01;0,00;0,13;0,08;1,02;1,08;17615,46;646,34;0,03;0,33;0,00;0,82;0,83;0,75;0,07;0,87;-0,09;-0,24;0,10;0,36;0,64;0,56;13,55;0,11;1,20;0,00;0,20;0,02;0,73;0,44;0,00;0,37;10,00;0,48;18,21;0,00;0,10;0,14;0,05;0,08;-0,02;-0,04;-0,15;12,93;0,00
125;2251230000;I;2015;-2,00;-0,18;-0,85;-1,38;0,42;0,42;18554,00;636,33;-0,18;-0,35;1,00;0,08;0,08;0,00;0,15;0,72;-0,27;-10,01;0,92;-0,43;1,43;-0,30;150,00;1,14;11,88;1,00;0,98;0,03;0,00;0,03;-0,53;0,02;0,40;0,46;0,90;0,00;-0,35;-1,46;-0,10;-0,07;-0,44;-0,27;-0,83;14,18;0,00
126;6809626000;I;2016;-1,62;-0,36;-0,36;-0,38;0,71;0,73;2818,44;-15015,95;-0,44;-0,09;1,00;1,01;1,01;1,00;0,01;1,26;0,01;0,01;0,01;0,06;0,94;0,06;150,00;0,00;0,99;0,00;0,04;0,01;0,94;0,95;0,20;0,85;1,77;1,01;2,44;4,70;0,62;0,50;0,59;0,62;-0,44;-0,70;-0,71;10,09;0,00
